,EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
364,365,34,Bertahan,Travel_Frequently,669,Research & Development,1,3,Medical,1,4,Male,97,2,2,Healthcare Representative,1,Single,5343,25755,0,Y,Tidak Lembur,20,4,3,80,0,14,3,3,13,9,4,9
365,366,58,Keluar,Travel_Rarely,289,Research & Development,2,3,Technical Degree,1,4,Male,51,3,1,Research Scientist,3,Single,2479,26227,4,Y,Tidak Lembur,24,4,1,80,0,7,4,3,1,0,0,0
366,367,34,Bertahan,Travel_Frequently,618,Research & Development,3,1,Life Sciences,1,1,Male,45,3,2,Healthcare Representative,4,Single,7756,22266,0,Y,Tidak Lembur,17,3,3,80,0,7,1,2,6,2,0,4
367,368,30,Bertahan,Non-Travel,829,Research & Development,1,1,Life Sciences,1,3,Male,88,2,3,Manufacturing Director,3,Single,8474,20925,1,Y,Tidak Lembur,22,4,3,80,0,12,2,3,11,8,5,8
368,369,32,Bertahan,Travel_Rarely,120,Research & Development,6,5,Life Sciences,1,3,Male,43,3,1,Research Scientist,3,Single,3038,12430,3,Y,Tidak Lembur,20,4,1,80,0,8,2,3,5,4,1,4
369,370,36,Bertahan,Travel_Rarely,1396,Research & Development,5,2,Life Sciences,1,4,Male,62,3,2,Laboratory Technician,2,Single,5914,9945,8,Y,Tidak Lembur,16,3,4,80,0,16,3,4,13,11,3,7
372,373,40,Bertahan,Travel_Frequently,1184,Sales,2,4,Medical,1,2,Male,62,3,2,Sales Executive,2,Married,4327,25440,5,Y,Tidak Lembur,12,3,4,80,3,5,2,3,0,0,0,0
373,374,36,Bertahan,Non-Travel,1105,Research & Development,24,4,Life Sciences,1,2,Female,47,3,2,Laboratory Technician,2,Married,5674,6927,7,Y,Tidak Lembur,15,3,3,80,1,11,3,3,9,8,0,8
374,375,21,Bertahan,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,Tidak Lembur,14,3,4,80,0,0,6,3,0,0,0,0
376,377,34,Bertahan,Travel_Rarely,204,Sales,14,3,Technical Degree,1,3,Female,31,3,1,Sales Representative,3,Divorced,2579,2912,1,Y,Lembur,18,3,4,80,2,8,3,3,8,2,0,6
378,379,34,Bertahan,Travel_Rarely,665,Research & Development,6,4,Other,1,1,Female,41,3,2,Research Scientist,3,Single,4809,12482,1,Y,Tidak Lembur,14,3,3,80,0,16,3,3,16,13,2,10
380,381,39,Bertahan,Travel_Rarely,1383,Human Resources,2,3,Life Sciences,1,4,Female,42,2,2,Human Resources,4,Married,5204,7790,8,Y,Tidak Lembur,11,3,3,80,2,13,2,3,5,4,0,4
381,382,45,Bertahan,Travel_Rarely,549,Research & Development,8,4,Other,1,4,Male,75,3,2,Research Scientist,4,Married,3697,9278,9,Y,Tidak Lembur,14,3,1,80,2,12,3,3,10,9,9,8
384,385,31,Keluar,Travel_Frequently,307,Research & Development,29,2,Medical,1,3,Male,71,2,1,Laboratory Technician,2,Single,3479,11652,0,Y,Tidak Lembur,11,3,2,80,0,6,2,4,5,4,1,4
385,386,38,Bertahan,Travel_Rarely,1035,Sales,3,4,Life Sciences,1,2,Male,42,3,2,Sales Executive,4,Single,6861,4981,8,Y,Lembur,12,3,3,80,0,19,1,3,1,0,0,0
387,388,31,Bertahan,Travel_Frequently,1327,Research & Development,3,4,Medical,1,2,Male,73,3,3,Research Director,3,Divorced,13675,13523,9,Y,Tidak Lembur,12,3,1,80,1,9,3,3,2,2,2,2
388,389,26,Bertahan,Travel_Rarely,991,Research & Development,6,3,Life Sciences,1,3,Female,71,3,1,Laboratory Technician,4,Married,2659,17759,1,Y,Lembur,13,3,3,80,1,3,2,3,3,2,0,2
390,391,30,Bertahan,Travel_Rarely,1138,Research & Development,6,3,Technical Degree,1,1,Female,48,2,2,Laboratory Technician,4,Married,4627,23631,0,Y,Tidak Lembur,12,3,1,80,1,10,6,3,9,2,6,7
392,393,34,Bertahan,Travel_Rarely,943,Research & Development,9,3,Life Sciences,1,4,Male,86,3,3,Healthcare Representative,4,Divorced,8500,5494,0,Y,Tidak Lembur,11,3,4,80,1,10,0,2,9,7,1,6
393,394,35,Bertahan,Travel_Rarely,735,Research & Development,6,1,Life Sciences,1,3,Male,66,3,1,Research Scientist,3,Married,3506,6020,0,Y,Lembur,14,3,4,80,0,4,3,3,3,2,2,2
394,395,27,Bertahan,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,Tidak Lembur,13,3,4,80,1,1,6,3,1,0,0,0
398,399,31,Bertahan,Travel_Rarely,691,Research & Development,5,4,Technical Degree,1,3,Male,86,3,1,Research Scientist,4,Married,4821,10077,0,Y,Lembur,12,3,3,80,1,6,4,3,5,2,0,3
399,400,39,Bertahan,Travel_Frequently,443,Research & Development,8,1,Life Sciences,1,3,Female,48,3,1,Laboratory Technician,3,Married,3755,17872,1,Y,Tidak Lembur,11,3,1,80,1,8,3,3,8,3,0,7
400,401,29,Bertahan,Travel_Rarely,1252,Research & Development,23,2,Life Sciences,1,3,Male,81,4,1,Research Scientist,3,Married,2700,23779,1,Y,Tidak Lembur,24,4,3,80,1,10,3,3,10,7,0,7
402,403,29,Keluar,Travel_Rarely,121,Sales,27,3,Marketing,1,2,Female,35,3,3,Sales Executive,4,Married,7639,24525,1,Y,Tidak Lembur,22,4,4,80,3,10,3,2,10,4,1,9
403,404,44,Keluar,Travel_Rarely,935,Research & Development,3,3,Life Sciences,1,1,Male,89,3,1,Laboratory Technician,1,Married,2362,14669,4,Y,Tidak Lembur,12,3,3,80,0,10,4,4,3,2,1,2
404,405,26,Bertahan,Travel_Rarely,841,Research & Development,6,3,Other,1,3,Female,46,2,1,Research Scientist,2,Married,2368,23300,1,Y,Tidak Lembur,19,3,3,80,0,5,3,2,5,4,4,3
405,406,48,Bertahan,Travel_Rarely,163,Sales,2,5,Marketing,1,2,Female,37,3,2,Sales Executive,4,Married,4051,19658,2,Y,Tidak Lembur,14,3,1,80,1,14,2,3,9,7,6,7
406,407,38,Bertahan,Travel_Rarely,364,Research & Development,3,5,Technical Degree,1,4,Female,32,3,2,Research Scientist,3,Single,4317,2302,3,Y,Lembur,20,4,2,80,0,19,2,3,3,2,2,2
408,409,23,Keluar,Travel_Rarely,1243,Research & Development,6,3,Life Sciences,1,3,Male,63,4,1,Laboratory Technician,1,Married,1601,3445,1,Y,Lembur,21,4,3,80,2,1,2,3,0,0,0,0
410,411,50,Bertahan,Travel_Rarely,939,Research & Development,24,3,Life Sciences,1,4,Male,95,3,4,Manufacturing Director,3,Married,13973,4161,3,Y,Lembur,18,3,4,80,1,22,2,3,12,11,1,5
411,412,37,Bertahan,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,3,Male,87,3,3,Sales Executive,4,Single,7428,14506,2,Y,Tidak Lembur,12,3,1,80,0,12,3,3,5,3,1,3
413,414,31,Bertahan,Travel_Rarely,1398,Human Resources,8,2,Medical,1,4,Female,96,4,1,Human Resources,2,Single,2109,24609,9,Y,Tidak Lembur,18,3,4,80,0,8,3,3,3,2,0,2
414,415,49,Keluar,Travel_Rarely,1184,Sales,11,3,Marketing,1,3,Female,43,3,3,Sales Executive,4,Married,7654,5860,1,Y,Tidak Lembur,18,3,1,80,2,9,3,4,9,8,7,7
415,416,34,Bertahan,Travel_Frequently,135,Research & Development,19,3,Medical,1,3,Female,46,3,2,Laboratory Technician,2,Divorced,4444,22534,4,Y,Tidak Lembur,13,3,3,80,2,15,2,4,11,8,5,10
416,417,41,Keluar,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Lembur,11,3,1,80,0,8,0,1,6,4,0,5
417,418,34,Bertahan,Travel_Rarely,970,Research & Development,8,2,Medical,1,2,Female,96,3,2,Healthcare Representative,3,Single,6142,7360,3,Y,Tidak Lembur,11,3,4,80,0,10,2,3,5,1,4,3
418,419,39,Bertahan,Travel_Frequently,505,Research & Development,2,4,Technical Degree,1,3,Female,64,3,3,Healthcare Representative,3,Single,10938,6420,0,Y,Tidak Lembur,25,4,4,80,0,20,1,3,19,6,11,8
419,420,32,Keluar,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Lembur,22,4,2,80,0,10,5,3,10,2,6,7
420,421,37,Bertahan,Travel_Frequently,889,Research & Development,9,3,Medical,1,2,Male,53,3,1,Research Scientist,4,Married,2326,11411,1,Y,Lembur,12,3,3,80,3,4,3,2,4,2,1,2
421,422,30,Keluar,Travel_Rarely,138,Research & Development,22,3,Life Sciences,1,1,Female,48,3,1,Research Scientist,3,Married,2132,11539,4,Y,Lembur,11,3,2,80,0,7,2,3,5,2,0,1
423,424,55,Bertahan,Travel_Rarely,452,Research & Development,1,3,Medical,1,4,Male,81,3,5,Manager,1,Single,19045,18938,0,Y,Lembur,14,3,3,80,0,37,2,3,36,10,4,13
424,425,37,Bertahan,Travel_Rarely,1225,Research & Development,10,2,Life Sciences,1,4,Male,80,4,1,Research Scientist,4,Single,4680,15232,3,Y,Tidak Lembur,17,3,1,80,0,4,2,3,1,0,0,0
425,426,35,Bertahan,Travel_Rarely,619,Sales,1,3,Marketing,1,2,Male,85,3,2,Sales Executive,3,Married,4717,18659,9,Y,Tidak Lembur,11,3,3,80,0,15,2,3,11,9,6,9
426,427,46,Bertahan,Travel_Frequently,638,Research & Development,1,3,Medical,1,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Y,Lembur,13,3,3,80,1,21,5,2,10,9,9,5
428,429,36,Bertahan,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,Y,Tidak Lembur,22,4,1,80,1,7,2,3,1,0,0,0
429,430,24,Bertahan,Non-Travel,1269,Research & Development,4,1,Life Sciences,1,1,Male,46,2,1,Laboratory Technician,4,Married,3162,10778,0,Y,Tidak Lembur,17,3,4,80,0,6,2,2,5,2,3,4
430,431,50,Bertahan,Travel_Rarely,1464,Research & Development,2,4,Medical,1,2,Male,62,3,5,Research Director,3,Married,19237,12853,2,Y,Lembur,11,3,4,80,1,29,2,2,8,1,7,7
431,432,32,Bertahan,Non-Travel,1184,Research & Development,1,3,Life Sciences,1,3,Female,70,2,1,Laboratory Technician,2,Married,2332,3974,6,Y,Tidak Lembur,20,4,3,80,0,5,3,3,3,0,0,2
432,433,34,Bertahan,Travel_Rarely,121,Research & Development,2,4,Medical,1,3,Female,86,2,1,Research Scientist,1,Single,4381,7530,1,Y,Tidak Lembur,11,3,3,80,0,6,3,3,6,5,1,3
433,434,26,Bertahan,Travel_Rarely,652,Research & Development,7,3,Other,1,3,Male,100,4,1,Laboratory Technician,1,Single,3578,23577,0,Y,Tidak Lembur,12,3,4,80,0,8,2,3,7,7,0,7
434,435,33,Bertahan,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,Tidak Lembur,19,3,1,80,2,10,3,3,5,3,1,3
437,438,38,Bertahan,Travel_Frequently,1391,Research & Development,10,1,Medical,1,3,Male,66,3,1,Research Scientist,3,Married,2684,12127,0,Y,Tidak Lembur,17,3,2,80,1,3,0,2,2,1,0,2
438,439,37,Bertahan,Travel_Rarely,1462,Research & Development,11,3,Medical,1,1,Female,94,3,1,Laboratory Technician,3,Single,3629,19106,4,Y,Tidak Lembur,18,3,1,80,0,8,6,3,3,2,0,2
439,440,35,Bertahan,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,1,4,Male,72,3,3,Healthcare Representative,3,Married,7632,14295,4,Y,Lembur,12,3,3,80,0,10,2,3,8,7,0,0
440,441,32,Bertahan,Travel_Rarely,128,Research & Development,2,1,Technical Degree,1,4,Male,84,2,2,Laboratory Technician,1,Single,2176,19737,4,Y,Tidak Lembur,13,3,4,80,0,9,5,3,6,2,0,4
441,442,38,Bertahan,Travel_Frequently,240,Research & Development,2,4,Life Sciences,1,1,Female,75,4,2,Manufacturing Director,1,Single,5980,26085,6,Y,Lembur,12,3,4,80,0,17,2,3,15,7,4,12
442,443,39,Bertahan,Travel_Rarely,117,Research & Development,10,1,Medical,1,3,Male,99,3,4,Manager,1,Married,17068,5355,1,Y,Lembur,14,3,4,80,0,21,3,3,21,9,11,10
443,444,33,Bertahan,Travel_Rarely,117,Research & Development,9,3,Medical,1,1,Male,60,3,1,Research Scientist,4,Married,2781,6311,0,Y,Tidak Lembur,13,3,2,80,1,15,5,3,14,10,4,10
445,446,59,Bertahan,Travel_Rarely,326,Sales,3,3,Life Sciences,1,3,Female,48,2,2,Sales Executive,4,Single,5171,16490,5,Y,Tidak Lembur,17,3,4,80,0,13,2,3,6,1,0,5
446,447,36,Bertahan,Travel_Rarely,928,Sales,1,2,Life Sciences,1,2,Male,56,3,2,Sales Executive,4,Married,6201,2823,1,Y,Lembur,14,3,4,80,1,18,1,2,18,14,4,11
447,448,37,Bertahan,Travel_Frequently,663,Research & Development,11,3,Other,1,2,Male,47,3,3,Research Director,4,Divorced,12185,10056,1,Y,Lembur,14,3,3,80,3,10,1,3,10,8,0,7
449,450,28,Bertahan,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,1,4,Female,66,3,1,Research Scientist,4,Single,3310,4488,1,Y,Tidak Lembur,21,4,4,80,0,5,3,3,5,3,0,2
450,451,49,Bertahan,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,1,4,Male,58,2,5,Research Director,3,Divorced,19502,2125,1,Y,Lembur,17,3,3,80,1,31,5,3,31,9,0,9
451,452,34,Bertahan,Travel_Rarely,254,Research & Development,1,2,Life Sciences,1,2,Male,83,2,1,Research Scientist,4,Married,3622,22794,1,Y,Lembur,13,3,4,80,1,6,3,3,6,5,1,3
455,456,35,Keluar,Travel_Rarely,1204,Sales,4,3,Technical Degree,1,4,Male,86,3,3,Sales Executive,1,Single,9582,10333,0,Y,Lembur,22,4,1,80,0,9,2,3,8,7,4,7
456,457,27,Bertahan,Travel_Frequently,994,Sales,8,3,Life Sciences,1,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,Tidak Lembur,15,3,4,80,0,9,0,3,9,8,1,7
457,458,48,Bertahan,Travel_Rarely,1355,Research & Development,4,4,Life Sciences,1,3,Male,78,2,3,Healthcare Representative,3,Single,10999,22245,7,Y,Tidak Lembur,14,3,2,80,0,27,3,3,15,11,4,8
458,459,41,Bertahan,Travel_Rarely,933,Research & Development,9,4,Life Sciences,1,3,Male,94,3,1,Laboratory Technician,1,Married,2238,6961,2,Y,Tidak Lembur,21,4,4,80,1,7,2,3,5,0,1,4
459,460,36,Bertahan,Travel_Frequently,469,Research & Development,3,3,Technical Degree,1,3,Male,46,3,1,Research Scientist,2,Married,3692,9256,1,Y,Tidak Lembur,12,3,3,80,0,12,2,2,11,10,0,7
460,461,40,Bertahan,Non-Travel,1151,Research & Development,9,5,Life Sciences,1,4,Male,63,2,2,Healthcare Representative,4,Married,4876,14242,9,Y,Tidak Lembur,14,3,4,80,1,5,5,1,3,2,0,2
462,463,31,Bertahan,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,Y,Tidak Lembur,23,4,4,80,0,11,2,3,11,7,1,8
463,464,20,Keluar,Travel_Rarely,1362,Research & Development,10,1,Medical,1,4,Male,32,3,1,Research Scientist,3,Single,1009,26999,1,Y,Lembur,11,3,4,80,0,1,5,3,1,0,1,1
465,466,36,Keluar,Travel_Rarely,318,Research & Development,9,3,Medical,1,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Y,Lembur,17,3,1,80,1,2,0,2,1,0,0,0
467,468,35,Bertahan,Travel_Frequently,944,Sales,1,3,Marketing,1,3,Female,92,3,3,Sales Executive,3,Single,8789,9096,1,Y,Tidak Lembur,14,3,1,80,0,10,3,4,10,7,0,8
468,469,24,Bertahan,Travel_Rarely,1206,Research & Development,17,1,Medical,1,4,Female,41,2,2,Manufacturing Director,3,Divorced,4377,24117,1,Y,Tidak Lembur,15,3,2,80,2,5,6,3,4,2,3,2
469,470,23,Bertahan,Travel_Rarely,373,Research & Development,1,2,Life Sciences,1,4,Male,47,3,1,Research Scientist,3,Married,1223,16901,1,Y,Tidak Lembur,22,4,4,80,1,1,2,3,1,0,0,1
470,471,28,Bertahan,Travel_Rarely,1476,Research & Development,16,2,Medical,1,2,Male,68,4,2,Healthcare Representative,1,Single,5661,4824,0,Y,Tidak Lembur,19,3,3,80,0,9,2,3,8,3,0,7
471,472,60,Bertahan,Travel_Rarely,1179,Sales,16,4,Marketing,1,1,Male,84,3,2,Sales Executive,1,Single,5405,11924,8,Y,Tidak Lembur,14,3,4,80,0,10,1,3,2,2,2,2
472,473,47,Bertahan,Travel_Frequently,1379,Research & Development,16,4,Medical,1,3,Male,64,4,2,Manufacturing Director,3,Divorced,5067,6759,1,Y,Lembur,19,3,3,80,0,20,3,4,19,10,2,7
473,474,41,Bertahan,Travel_Rarely,427,Human Resources,10,4,Human Resources,1,2,Male,73,2,5,Manager,4,Divorced,19141,8861,3,Y,Tidak Lembur,15,3,2,80,3,23,2,2,21,6,12,6
474,475,24,Bertahan,Travel_Rarely,477,Research & Development,24,3,Medical,1,4,Male,49,3,1,Laboratory Technician,2,Single,3597,6409,8,Y,Tidak Lembur,22,4,4,80,0,6,2,3,4,3,1,2
475,476,29,Bertahan,Travel_Rarely,1086,Research & Development,7,1,Medical,1,1,Female,62,2,1,Laboratory Technician,4,Divorced,2532,6054,6,Y,Tidak Lembur,14,3,3,80,3,8,5,3,4,3,0,3
476,477,37,Keluar,Travel_Frequently,504,Research & Development,10,3,Medical,1,1,Male,61,3,3,Manufacturing Director,3,Divorced,10048,22573,6,Y,Tidak Lembur,11,3,2,80,2,17,5,3,1,0,0,0
479,480,55,Bertahan,Travel_Frequently,135,Research & Development,18,4,Medical,1,3,Male,62,3,2,Healthcare Representative,2,Married,6385,12992,3,Y,Lembur,14,3,4,80,2,17,3,3,8,7,6,7
480,481,30,Bertahan,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Y,Lembur,12,3,3,80,2,10,1,2,10,8,3,0
483,484,26,Bertahan,Travel_Rarely,703,Sales,28,2,Marketing,1,1,Male,66,3,2,Sales Executive,2,Married,6272,7428,1,Y,Tidak Lembur,20,4,4,80,2,6,5,4,5,3,1,4
484,485,29,Keluar,Travel_Rarely,318,Research & Development,8,4,Other,1,2,Male,77,1,1,Laboratory Technician,1,Married,2119,4759,1,Y,Lembur,11,3,4,80,0,7,4,2,7,7,0,7
485,486,25,Keluar,Travel_Rarely,688,Research & Development,3,3,Medical,1,1,Male,91,3,1,Laboratory Technician,1,Married,4031,9396,5,Y,Tidak Lembur,13,3,3,80,1,6,5,3,2,2,0,2
487,488,37,Bertahan,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,Y,Tidak Lembur,12,3,3,80,1,18,2,2,18,7,12,17
488,489,36,Bertahan,Travel_Rarely,1278,Human Resources,8,3,Life Sciences,1,1,Male,77,2,1,Human Resources,1,Married,2342,8635,0,Y,Tidak Lembur,21,4,3,80,0,6,3,3,5,4,0,3
489,490,41,Keluar,Non-Travel,906,Research & Development,5,2,Life Sciences,1,1,Male,95,2,1,Research Scientist,1,Divorced,2107,20293,6,Y,Tidak Lembur,17,3,1,80,1,5,2,1,1,0,0,0
490,491,36,Bertahan,Travel_Rarely,1174,Sales,3,4,Marketing,1,1,Female,99,3,2,Sales Executive,2,Single,9278,20763,3,Y,Lembur,16,3,4,80,0,15,3,3,5,4,0,1
491,492,38,Bertahan,Travel_Rarely,1333,Research & Development,1,3,Technical Degree,1,4,Female,80,3,3,Research Director,1,Married,13582,16292,1,Y,Tidak Lembur,13,3,2,80,1,15,3,3,15,12,5,11
493,494,38,Bertahan,Travel_Rarely,362,Research & Development,1,1,Life Sciences,1,3,Female,43,3,1,Research Scientist,1,Single,2619,14561,3,Y,Tidak Lembur,17,3,4,80,0,8,3,2,0,0,0,0
494,495,51,Bertahan,Travel_Rarely,1318,Sales,26,4,Marketing,1,1,Female,66,3,4,Manager,3,Married,16307,5594,2,Y,Tidak Lembur,14,3,3,80,1,29,2,2,20,6,4,17
495,496,37,Bertahan,Travel_Rarely,1319,Research & Development,6,3,Medical,1,3,Male,51,4,2,Research Scientist,1,Divorced,5974,17001,4,Y,Lembur,13,3,1,80,2,13,2,3,7,7,6,7
496,497,20,Keluar,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,4,Female,66,2,1,Laboratory Technician,4,Single,2926,19783,1,Y,Lembur,18,3,2,80,0,1,5,3,1,0,1,0
497,498,45,Bertahan,Travel_Rarely,974,Research & Development,1,4,Medical,1,4,Female,91,3,1,Laboratory Technician,4,Divorced,2270,11005,3,Y,Tidak Lembur,14,3,4,80,2,8,2,3,5,3,0,2
498,499,24,Keluar,Travel_Rarely,984,Research & Development,17,2,Life Sciences,1,4,Female,97,3,1,Laboratory Technician,2,Married,2210,3372,1,Y,Tidak Lembur,13,3,1,80,1,1,3,1,1,0,0,0
499,500,52,Bertahan,Travel_Rarely,956,Research & Development,6,2,Technical Degree,1,4,Male,78,3,2,Research Scientist,1,Divorced,5577,22087,3,Y,Lembur,12,3,2,80,2,18,3,3,10,9,6,9
500,501,49,Bertahan,Travel_Rarely,1261,Research & Development,7,3,Other,1,2,Male,31,2,3,Healthcare Representative,3,Single,10965,12066,8,Y,Tidak Lembur,24,4,3,80,0,26,2,3,5,2,0,0
504,505,19,Keluar,Travel_Rarely,528,Sales,22,1,Marketing,1,4,Male,50,3,1,Sales Representative,3,Single,1675,26820,1,Y,Lembur,19,3,4,80,0,0,2,2,0,0,0,0
506,507,24,Bertahan,Non-Travel,673,Research & Development,11,2,Other,1,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,Tidak Lembur,18,3,4,80,1,5,5,2,4,2,1,3
507,508,22,Bertahan,Travel_Rarely,604,Research & Development,6,1,Medical,1,1,Male,69,3,1,Research Scientist,3,Married,2773,12145,0,Y,Tidak Lembur,20,4,4,80,0,3,3,3,2,2,2,2
509,510,42,Bertahan,Travel_Frequently,570,Research & Development,8,3,Life Sciences,1,2,Male,66,3,5,Manager,4,Divorced,18430,16225,1,Y,Tidak Lembur,13,3,2,80,1,24,4,2,24,7,14,9
510,511,33,Bertahan,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Lembur,11,3,3,80,0,8,3,3,8,7,3,0
511,512,37,Bertahan,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,Tidak Lembur,18,3,3,80,1,7,2,4,7,5,0,7
512,513,39,Bertahan,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,1,2,Male,52,3,5,Manager,3,Divorced,19197,8213,1,Y,Lembur,14,3,3,80,1,21,3,3,21,8,1,6
513,514,36,Bertahan,Travel_Frequently,607,Sales,7,3,Marketing,1,1,Female,83,4,2,Sales Executive,1,Married,4639,2261,2,Y,Tidak Lembur,16,3,4,80,1,17,2,2,15,7,6,13
514,515,50,Bertahan,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,1,4,Male,100,2,3,Healthcare Representative,4,Single,10496,2755,6,Y,Tidak Lembur,15,3,4,80,0,20,2,3,4,3,1,3
515,516,33,Bertahan,Travel_Rarely,213,Research & Development,7,3,Medical,1,3,Male,49,3,3,Research Director,3,Married,11691,25995,0,Y,Tidak Lembur,11,3,4,80,0,14,3,4,13,9,3,7
516,517,43,Bertahan,Travel_Frequently,1001,Research & Development,9,5,Medical,1,4,Male,72,3,2,Laboratory Technician,3,Divorced,5679,19627,3,Y,Lembur,13,3,2,80,1,10,3,3,8,7,4,7
518,519,30,Bertahan,Travel_Rarely,1275,Research & Development,28,2,Medical,1,4,Female,64,3,2,Research Scientist,4,Married,5775,11934,1,Y,Tidak Lembur,13,3,4,80,2,11,2,3,10,8,1,9
520,521,36,Keluar,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,Tidak Lembur,23,4,2,80,0,10,4,3,5,3,0,3
524,525,27,Bertahan,Travel_Rarely,1055,Research & Development,2,4,Life Sciences,1,1,Female,47,3,2,Manufacturing Director,4,Married,4227,4658,0,Y,Tidak Lembur,18,3,2,80,1,4,2,3,3,2,2,2
525,526,42,Bertahan,Travel_Rarely,469,Research & Development,2,2,Medical,1,4,Male,35,3,4,Manager,1,Married,17665,14399,0,Y,Tidak Lembur,17,3,4,80,1,23,3,3,22,6,13,7
526,527,36,Keluar,Travel_Rarely,660,Research & Development,15,3,Other,1,1,Male,81,3,2,Laboratory Technician,3,Divorced,4834,7858,7,Y,Tidak Lembur,14,3,2,80,1,9,3,2,1,0,0,0
527,528,29,Bertahan,Travel_Rarely,1329,Research & Development,7,3,Life Sciences,1,3,Male,82,3,2,Healthcare Representative,4,Divorced,6623,4204,1,Y,Lembur,11,3,2,80,2,6,2,3,6,0,1,0
528,529,37,Bertahan,Travel_Rarely,482,Research & Development,3,3,Other,1,3,Male,36,3,3,Manufacturing Director,3,Married,9434,9606,1,Y,Tidak Lembur,15,3,3,80,1,10,2,3,10,7,7,8
530,531,40,Bertahan,Travel_Rarely,1416,Research & Development,2,2,Medical,1,1,Male,49,3,5,Research Director,3,Divorced,19436,5949,0,Y,Tidak Lembur,19,3,4,80,1,22,5,3,21,7,3,9
531,532,58,Keluar,Travel_Rarely,286,Research & Development,2,4,Life Sciences,1,4,Male,31,3,5,Research Director,2,Single,19246,25761,7,Y,Lembur,12,3,4,80,0,40,2,3,31,15,13,8
533,534,40,Bertahan,Travel_Rarely,1308,Research & Development,14,3,Medical,1,3,Male,44,2,5,Research Director,3,Single,19626,17544,1,Y,Tidak Lembur,14,3,1,80,0,21,2,4,20,7,4,9
535,536,30,Bertahan,Travel_Rarely,1339,Sales,5,3,Life Sciences,1,2,Female,41,3,3,Sales Executive,4,Married,9419,8053,2,Y,Tidak Lembur,12,3,3,80,1,12,2,3,10,9,7,4
536,537,33,Keluar,Travel_Rarely,118,Sales,16,3,Marketing,1,1,Female,69,3,2,Sales Executive,1,Single,5324,26507,5,Y,Tidak Lembur,15,3,3,80,0,6,3,3,3,2,0,2
538,539,31,Bertahan,Non-Travel,979,Research & Development,1,4,Medical,1,3,Male,90,1,2,Manufacturing Director,3,Married,4345,4381,0,Y,Tidak Lembur,12,3,4,80,1,6,2,3,5,4,1,4
539,540,30,Bertahan,Non-Travel,879,Research & Development,9,2,Medical,1,3,Female,72,3,2,Manufacturing Director,3,Single,4695,12858,7,Y,Lembur,18,3,3,80,0,10,3,3,8,4,1,7
542,543,59,Bertahan,Travel_Rarely,1324,Research & Development,3,3,Medical,1,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Lembur,20,4,1,80,3,12,3,2,1,0,0,0
